Employee_ID,Job_Title,Department,Manager_ID
120101,Director,Sales Management,120261
120102,Sales Manager,Sales Management,120101
120103,Sales Manager,Sales Management,120101
120104,Administration Manager,Administration,120101
120105,Secretary I,Administration,120101
120106,Office Assistant II,Administration,120104
120107,Office Assistant III,Administration,120104
120108,Warehouse Assistant II,Administration,120104
120109,Warehouse Assistant I,Administration,120104
120110,Warehouse Assistant III,Administration,120104
120111,Security Guard II,Administration,120104
120112,Security Guard I,Administration,120104
120113,Security Guard II,Administration,120104
120114,Security Manager,Administration,120104
120115,Service Assistant I,Administration,120104
120116,Service Assistant II,Administration,120104
120117,Cabinet Maker III,Engineering,120104
120118,Cabinet Maker II,Engineering,120104
120119,Electrician IV,Engineering,120104
120120,Electrician II,Engineering,120104
120121,Sales Rep. II,Sales,120102
120122,Sales Rep. II,Sales,120102
120123,Sales Rep. I,Sales,120102
120124,Sales Rep. I,Sales,120102
120125,Sales Rep. IV,Sales,120102
120126,Sales Rep. II,Sales,120102
120127,Sales Rep. II,Sales,120102
120128,Sales Rep. IV,Sales,120102
120129,Sales Rep. III,Sales,120102
120130,Sales Rep. I,Sales,120102
120131,Sales Rep. I,Sales,120102
120132,Sales Rep. III,Sales,120102
120133,Sales Rep. II,Sales,120102
120134,Sales Rep. II,Sales,120102
120135,Sales Rep. IV,Sales,120102
120136,Sales Rep. I,Sales,120102
120137,Sales Rep. III,Sales,120102
120138,Sales Rep. I,Sales,120102
120139,Sales Rep. II,Sales,120102
120140,Sales Rep. I,Sales,120103
120141,Sales Rep. II,Sales,120103
120142,Sales Rep. III,Sales,120103
120143,Sales Rep. II,Sales,120103
120144,Sales Rep. III,Sales,120103
120145,Sales Rep. II,Sales,120103
120146,Sales Rep. I,Sales,120103
120147,Sales Rep. II,Sales,120103
120148,Sales Rep. III,Sales,120103
120149,Sales Rep. I,Sales,120103
120150,Sales Rep. III,Sales,120103
120151,Sales Rep. II,Sales,120103
120152,Sales Rep. I,Sales,120102
120153,Sales Rep. I,Sales,120102
120154,Sales Rep. III,Sales,120102
120155,Sales Rep. III,Sales,120102
120156,Sales Rep. I,Sales,120102
120157,Sales Rep. II,Sales,120102
120158,Sales Rep. III,Sales,120102
120159,Sales Rep. IV,Sales,120102
120160,Sales Rep. I,Sales,120102
120161,Sales Rep. III,Sales,120102
120162,Sales Rep. I,Sales,120102
120163,Sales Rep. II,Sales,120102
120164,Sales Rep. II,Sales,120102
120165,Sales Rep. I,Sales,120102
120166,Sales Rep. IV,Sales,120102
120167,Sales Rep. I,Sales,120102
120168,Sales Rep. I,Sales,120102
120169,Sales Rep. III,Sales,120102
120170,Sales Rep. III,Sales,120102
120171,Sales Rep. II,Sales,120102
120172,Sales Rep. III,Sales,120102
120173,Sales Rep. I,Sales,120102
120174,Sales Rep. I,Sales,120102
120175,Sales Rep. I,Sales,120102
120176,Sales Rep. I,Sales,120102
120177,Sales Rep. III,Sales,120102
120178,Sales Rep. II,Sales,120102
120179,Sales Rep. III,Sales,120102
120180,Sales Rep. II,Sales,120102
120181,Temp. Sales Rep.,Sales,120103
120182,Temp. Sales Rep.,Sales,120103
120183,Temp. Sales Rep.,Sales,120103
120184,Temp. Sales Rep.,Sales,120103
120185,Temp. Sales Rep.,Sales,120103
120186,Temp. Sales Rep.,Sales,120103
120187,Temp. Sales Rep.,Sales,120103
120188,Temp. Sales Rep.,Sales,120103
120189,Temp. Sales Rep.,Sales,120103
120190,Trainee,Sales,120103
120191,Trainee,Sales,120103
120192,Trainee,Sales,120103
120193,Trainee,Sales,120103
120194,Trainee,Sales,120103
120195,Trainee,Sales,120103
120196,Trainee,Sales,120103
120197,Trainee,Sales,120103
120198,Sales Rep. III,Sales,120103
120259,Chief Executive Officer,Executives,
120260,Chief Marketing Officer,Executives,120259
120261,Chief Sales Officer,Executives,120259
120262,Chief Financial Officer,Executives,120259
120263,Financial Analyst III,Group Financials,120262
120264,Financial Analyst II,Group Financials,120262
120265,Auditor III,Group Financials,120262
120266,Secretary IV,Secretary of the Board,120259
120267,Secretary III,Secretary of the Board,120259
120268,Senior Strategist,Strategy,120260
120269,Strategist II,Strategy,120260
120270,Concession Director,Concession Management,120261
120271,Concession Manager,Concession Management,120270
120272,Concession Consultant II,Concession Management,120271
120273,Concession Assistant III,Concession Management,120271
120274,Concession Assistant I,Concession Management,120271
120275,Concession Consultant II,Concession Management,120271
120276,Concession Assistant II,Concession Management,120271
120277,Concession Consultant I,Concession Management,120271
120278,Concession Assistant III,Concession Management,120271
120279,Concession Consultant I,Concession Management,120271
120280,Concession Consultant III,Concession Management,120271
120656,Logistics Coordinator II,Logistics Management,120660
120657,Logistics Coordinator I,Logistics Management,120660
120658,Logistics Coordinator II,Logistics Management,120660
120659,Director,Logistics Management,120259
120660,Logistics Manager,Logistics Management,120659
120661,Senior Logistics Manager,Logistics Management,120659
120662,Secretary II,Logistics Management,120659
120663,Pricing Manager,Logistics Management,120659
120664,Pricing Specialist,Logistics Management,120663
120665,Senior Logistics Manager,Logistics Management,120659
120666,Logistics Manager,Logistics Management,120659
120667,Office Assistant III,Logistics Management,120666
120668,Services Manager,Logistics Management,120659
120669,Services Assistant IV,Logistics Management,120668
120670,Shipping Manager,Stock & Shipping,120659
120671,Shipping Agent III,Stock & Shipping,120670
120672,Shipping Manager,Stock & Shipping,120659
120673,Shipping Agent II,Stock & Shipping,120672
120677,Shipping Manager,Stock & Shipping,120659
120678,Shipping Agent III,Stock & Shipping,120677
120679,Shipping Manager,Stock & Shipping,120659
120680,Shipping Agent I,Stock & Shipping,120679
120681,Shipping Agent II,Stock & Shipping,120679
120682,Shipping Agent I,Stock & Shipping,120679
120683,Shipping Agent III,Stock & Shipping,120679
120684,Warehouse Assistant I,Stock & Shipping,120679
120685,Warehouse Assistant I,Stock & Shipping,120679
120686,Warehouse Assistant II,Stock & Shipping,120679
