Employee_ID,Employee_Gender,Salary,Birth_Date,Employee_Hire_Date,Employee_Term_Date,Marital_Status,Dependents
120101,M,163040,6074,15887,,S,0
120102,M,108255,3510,10744,,O,2
120103,M,87975,-3996,5114,,M,1
120104,F,46230,-2061,7671,,M,1
120105,F,27110,5468,14365,,S,0
120106,M,26960,-5487,5114,,M,2
120107,F,30475,-3997,5145,,M,2
120108,F,27660,8819,17014,,S,0
120109,F,26495,9845,17075,,M,3
120110,M,28615,-3694,7244,,M,1
120111,M,26895,-3814,5418,,M,3
120112,F,26550,3335,11139,,M,3
120113,F,26870,-5714,5114,,S,0
120114,F,31285,-5806,5114,,M,3
120115,M,26500,8894,16649,,M,2
120116,M,29250,-202,7336,,S,0
120117,M,31670,1715,9587,,O,1
120118,M,28090,-212,8948,,M,3
120119,M,30255,3642,13880,,M,1
120120,F,27645,-5719,5114,,M,3
120121,F,26600,-5630,5114,,M,1
120122,F,27475,-1984,6756,,S,0
120123,F,26190,1732,9405,16467,M,3
120124,M,26480,-233,6999,,M,1
120125,M,32040,-1852,6999,16283,M,2
120126,M,26780,10490,17014,,O,2
120127,F,28100,6943,14184,,M,2
120128,F,30890,9691,17106,,S,0
120129,M,30070,1787,9405,15795,S,0
120130,M,26955,9114,16922,,M,2
120131,M,26910,7207,15706,,S,0
120132,F,28525,-3923,6848,,S,0
120133,F,27440,9608,17075,,S,0
120134,M,28015,-3861,5114,16982,M,2
120135,M,32490,3313,13788,16191,M,3
120136,M,26605,7198,15737,,M,1
120137,F,29715,7010,16861,,S,0
120138,F,25795,7131,16983,,S,0
120139,F,26810,9726,17045,,S,0
120140,M,26970,10442,17075,,M,2
120141,F,27465,10298,16922,,M,1
120142,M,29695,9661,16983,,S,0
120143,M,26790,-229,8309,,S,1
120144,M,30265,9562,17075,,S,0
120145,M,26060,1482,9283,,O,0
120146,M,25985,-91,7518,16709,M,1
120147,F,26580,10245,17075,,M,3
120148,M,28480,-3762,6726,,S,0
120149,F,26390,5438,12054,,O,1
120150,M,29965,-2002,8248,16191,M,1
120151,F,26520,-5519,5114,,M,3
120152,M,26515,7060,16527,,M,1
120153,F,27260,7066,13880,16832,M,2
120154,F,30490,-5643,5114,,M,1
120155,F,29990,8878,16892,,M,1
120156,F,26445,10471,16861,,O,0
120157,M,27860,9548,17136,,S,0
120158,M,36605,1656,10043,16679,S,0
120159,F,30765,1515,9678,,M,1
120160,M,27115,-1940,5387,,M,1
120161,F,30785,10293,17075,,S,0
120162,M,27215,10475,16833,,M,3
120163,M,26735,1603,11323,,M,3
120164,F,27450,-36,8067,,M,2
120165,M,27050,8844,16861,,S,0
120166,M,30660,-5679,5114,17044,S,0
120167,F,25185,-2068,5145,16891,S,0
120168,F,25275,8849,17106,,M,1
120169,M,28135,8767,16922,,M,3
120170,M,28830,5169,11962,17105,S,0
120171,F,26205,8966,17045,,M,3
120172,M,28345,-5753,5114,,M,3
120173,M,26715,-2138,6361,16283,M,3
120174,F,26850,-5835,5114,16739,S,0
120175,M,25745,10457,17075,,S,0
120176,M,26095,9809,17106,,M,1
120177,F,28745,7034,13911,,S,0
120178,M,26165,-1865,5204,,M,3
120179,M,28510,5187,16071,16314,M,1
120180,M,26970,-2014,6909,,S,0
120181,F,27065,10559,17136,17256,S,0
120182,M,25020,9044,17136,17166,M,2
120183,M,26910,3540,17136,17166,M,1
120184,M,25820,-3683,17136,17286,O,2
120185,F,25080,5210,17136,17197,M,2
120186,F,26795,7048,17136,17347,O,1
120187,F,26665,9110,17136,17317,M,1
120188,F,26715,-2132,17136,17166,M,2
120189,M,25180,8950,17136,17256,S,0
120190,M,24100,9105,16376,16556,M,2
120191,F,24015,-349,15706,15886,S,0
120192,M,26185,8894,16588,16770,M,2
120193,M,24515,9106,16680,16860,S,0
120194,M,25985,9032,16468,16648,M,1
120195,F,24990,9125,16983,17166,S,0
120196,F,24025,8796,15706,15886,S,0
120197,F,25580,-1972,15706,15886,M,2
120198,F,28025,10247,17136,,M,1
120259,M,433800,1485,10836,,M,1
120260,F,207885,1797,9071,,M,2
120261,M,243190,3339,10074,,O,1
120262,M,268455,3581,10471,,M,2
120263,M,42605,1501,8674,16070,S,0
120264,F,37510,8788,17136,,S,0
120265,F,51950,-5567,5114,15705,M,3
120266,F,31750,3469,10683,,M,2
120267,F,28585,9649,15737,,M,1
120268,M,76105,5357,13635,,S,0
120269,F,52540,-5574,5114,16191,M,2
120270,M,48435,-2108,5114,,O,0
120271,F,43635,1679,9740,,M,1
