Employee_ID,Qtr1,Qtr2,Qtr3,Qtr4,Recipients,Paid_By
120265,,,,25,"Mitleid International 90%, Save the Baby Animals 10%",Cash or Check
120267,15,15,15,15,"Disaster Assist, Inc. 80%, Cancer Cures, Inc. 20%",Payroll Deduction
120269,20,20,20,20,"Cancer Cures, Inc. 10%, Cuidadores Ltd. 90%",Payroll Deduction
120270,20,10,5,,"AquaMissions International 10%, Child Survivors 90%",Cash or Check
120271,20,20,20,20,"Cuidadores Ltd. 80%, Mitleid International 20%",Payroll Deduction
120272,10,10,10,10,"AquaMissions International 10%, Child Survivors 90%",Payroll Deduction
120275,15,15,15,15,"AquaMissions International 60%, Child Survivors 40%",Credit Card
120660,25,25,25,25,"Disaster Assist, Inc.",Credit Card
120662,10,,5,5,"Cancer Cures, Inc.",Cash or Check
120663,,,5,,"EarthSalvors 30%, Vox Victimas 70%",Cash or Check
120668,10,10,10,10,"AquaMissions International 80%, Child Survivors 20%",Credit Card
120669,15,15,15,15,"AquaMissions International 60%, Child Survivors 40%",Payroll Deduction
120671,20,20,20,20,"Conserve Nature, Inc. 20%, AquaMissions International 80%",Credit Card
120677,25,25,25,25,"EarthSalvors 60%, Vox Victimas 40%",Credit Card
120678,10,10,,,"Disaster Assist, Inc. 50%, Cancer Cures, Inc. 50%",Payroll Deduction
120679,,20,5,15,"Cancer Cures, Inc.",Cash or Check
120680,15,15,15,15,"Cancer Cures, Inc. 20%, Cuidadores Ltd. 80%",Credit Card
120681,10,10,5,15,"EarthSalvors 60%, Vox Victimas 40%",Cash or Check
120684,5,5,5,5,"Vox Victimas 60%, Conserve Nature, Inc. 40%",Payroll Deduction
120686,15,15,15,15,"Conserve Nature, Inc. 40%, AquaMissions International 60%",Payroll Deduction
120689,15,15,15,15,"Disaster Assist, Inc. 40%, Cancer Cures, Inc. 60%",Credit Card
120713,15,15,15,15,"Save the Baby Animals 90%, EarthSalvors 10%",Payroll Deduction
120715,10,10,10,10,"EarthSalvors 70%, Vox Victimas 30%",Payroll Deduction
120721,5,5,5,5,"Conserve Nature, Inc. 60%, AquaMissions International 40%",Payroll Deduction
120726,10,10,10,10,"Child Survivors 70%, Disaster Assist, Inc. 30%",Payroll Deduction
120734,,,15,10,"EarthSalvors 40%, Vox Victimas 60%",Cash or Check
120736,25,,,20,Cuidadores Ltd.,Cash or Check
120740,15,15,15,15,"Cancer Cures, Inc.",Credit Card
120742,,,10,10,"Conserve Nature, Inc. 40%, AquaMissions International 60%",Cash or Check
120745,15,15,15,15,"Conserve Nature, Inc. 80%, AquaMissions International 20%",Payroll Deduction
120746,20,20,20,20,"Child Survivors 90%, Disaster Assist, Inc. 10%",Payroll Deduction
120747,20,20,20,20,"Child Survivors 90%, Disaster Assist, Inc. 10%",Credit Card
120748,20,20,20,20,Save the Baby Animals,Payroll Deduction
120752,10,,,,"Cuidadores Ltd. 60%, Mitleid International 40%",Payroll Deduction
120753,25,25,25,25,"Conserve Nature, Inc. 50%, AquaMissions International 50%",Payroll Deduction
120754,10,10,10,10,"Cancer Cures, Inc. 60%, Cuidadores Ltd. 40%",Payroll Deduction
120757,,,15,5,AquaMissions International,Cash or Check
120759,15,20,5,,Child Survivors,Cash or Check
120760,,15,20,,"Cancer Cures, Inc. 40%, Cuidadores Ltd. 60%",Cash or Check
120761,10,10,10,10,"EarthSalvors 40%, Vox Victimas 60%",Payroll Deduction
120762,,,5,5,Cuidadores Ltd.,Cash or Check
120764,15,15,15,15,"Vox Victimas 30%, Conserve Nature, Inc. 70%",Payroll Deduction
120766,25,25,25,25,"Mitleid International 80%, Save the Baby Animals 20%",Payroll Deduction
120767,15,15,15,15,"Vox Victimas 50%, Conserve Nature, Inc. 50%",Payroll Deduction
120768,20,20,20,,Save the Baby Animals,Payroll Deduction
120771,20,20,20,20,Cuidadores Ltd.,Credit Card
120773,10,10,10,10,Vox Victimas,Payroll Deduction
120777,5,15,5,15,"Cuidadores Ltd. 80%, Mitleid International 20%",Cash or Check
120778,15,15,15,15,"Cuidadores Ltd. 90%, Mitleid International 10%",Payroll Deduction
120783,20,20,20,20,"Disaster Assist, Inc. 10%, Cancer Cures, Inc. 90%",Payroll Deduction
120789,5,,,,"Save the Baby Animals 90%, EarthSalvors 10%",Credit Card
120790,20,20,20,20,"AquaMissions International 30%, Child Survivors 70%",Credit Card
120791,30,30,30,30,Child Survivors,Payroll Deduction
120792,20,20,20,20,"Mitleid International 40%, Save the Baby Animals 60%",Payroll Deduction
120793,15,15,15,15,Child Survivors,Credit Card
120794,,,20,20,Vox Victimas,Payroll Deduction
120799,5,5,5,5,"Cuidadores Ltd. 40%, Mitleid International 60%",Credit Card
120801,20,20,20,20,Cuidadores Ltd.,Payroll Deduction
120807,20,20,20,20,"AquaMissions International 70%, Child Survivors 30%",Credit Card
120808,,,10,,"AquaMissions International 40%, Child Survivors 60%",Cash or Check
120813,20,20,20,,"Disaster Assist, Inc. 20%, Cancer Cures, Inc. 80%",Credit Card
120814,25,25,25,25,"Child Survivors 80%, Disaster Assist, Inc. 20%",Payroll Deduction
120815,15,15,15,15,"Disaster Assist, Inc.",Payroll Deduction
120994,5,5,10,10,"Cancer Cures, Inc. 80%, Cuidadores Ltd. 20%",Cash or Check
120995,15,15,15,15,"AquaMissions International 40%, Child Survivors 60%",Payroll Deduction
120996,15,15,15,15,"Vox Victimas 70%, Conserve Nature, Inc. 30%",Credit Card
120999,5,5,5,5,"Disaster Assist, Inc. 70%, Cancer Cures, Inc. 30%",Credit Card
121000,20,20,20,20,"AquaMissions International 80%, Child Survivors 20%",Credit Card
121002,10,10,10,10,"Vox Victimas 50%, Conserve Nature, Inc. 50%",Payroll Deduction
121008,10,10,10,10,"Mitleid International 30%, Save the Baby Animals 70%",Payroll Deduction
121009,15,15,15,15,"Cancer Cures, Inc.",Payroll Deduction
121010,10,10,10,10,"Cuidadores Ltd. 60%, Mitleid International 40%",Credit Card
121012,,,5,5,"Child Survivors 10%, Disaster Assist, Inc. 90%",Cash or Check
121013,10,5,,5,"Child Survivors 60%, Disaster Assist, Inc. 40%",Cash or Check
121014,15,15,15,15,"EarthSalvors 70%, Vox Victimas 30%",Payroll Deduction
121018,10,,,,"Conserve Nature, Inc.",Credit Card
121022,15,15,15,15,"EarthSalvors 70%, Vox Victimas 30%",Payroll Deduction
121025,10,10,10,10,"Cuidadores Ltd. 70%, Mitleid International 30%",Payroll Deduction
121030,10,10,10,10,"Mitleid International 30%, Save the Baby Animals 70%",Payroll Deduction
121031,10,10,10,10,Save the Baby Animals,Payroll Deduction
121033,15,15,15,15,Mitleid International,Payroll Deduction
121036,,,,10,Mitleid International,Credit Card
121037,10,10,10,10,"Disaster Assist, Inc. 50%, Cancer Cures, Inc. 50%",Payroll Deduction
121039,10,10,10,10,"Save the Baby Animals 20%, EarthSalvors 80%",Payroll Deduction
121040,10,10,10,10,"Disaster Assist, Inc. 50%, Cancer Cures, Inc. 50%",Credit Card
121044,10,10,10,10,Vox Victimas,Payroll Deduction
121053,5,,5,,"Child Survivors 20%, Disaster Assist, Inc. 80%",Cash or Check
121054,15,15,15,15,Save the Baby Animals,Credit Card
121056,,10,10,10,"Cancer Cures, Inc.",Payroll Deduction
121058,10,10,10,10,"Disaster Assist, Inc. 90%, Cancer Cures, Inc. 10%",Credit Card
121061,10,10,10,10,"Child Survivors 20%, Disaster Assist, Inc. 80%",Payroll Deduction
121062,15,15,15,15,"Cancer Cures, Inc.",Payroll Deduction
121063,15,15,15,15,"AquaMissions International 30%, Child Survivors 70%",Payroll Deduction
121065,10,10,10,10,"EarthSalvors 90%, Vox Victimas 10%",Payroll Deduction
121069,10,10,10,10,Cuidadores Ltd.,Credit Card
121074,10,10,10,10,"Disaster Assist, Inc. 30%, Cancer Cures, Inc. 70%",Payroll Deduction
121077,15,15,15,15,EarthSalvors,Credit Card
