Product_ID,Unit_Price,Factor
210200100009,$34.70,1.01
210200100017,$40.00,1.01
210200200023,$19.80,1.01
210200600067,$67.00,1.01
210200600085,$39.40,1.01
210200600112,$21.80,1.01
210200900033,$14.20,1.01
210200900038,$20.30,1.01
210201000050,$19.60,1.01
210201000126,$6.50,1.01
210201000198,$60.10,1.01
210201100004,$49.20,1.02
220100100189,$94.70,1.01
220100100192,$27.40,1.01
220100100309,$96.30,1.01
220100100354,$17.00,1.01
220100200004,$6.50,1.01
220100300008,$85.70,1.01
220100300042,$208.60,1.01
220100400023,$93.60,1.01
220100700002,$188.60,1.01
220100700022,$56.90,1.01
220100700024,$104.60,1.01
220100700027,$59.50,1.01
220100700042,$90.60,1.01
220100700046,$154.40,1.02
220100700052,$121.60,1.02
220100800001,$38.60,1.01
220100800009,$52.50,1.01
220100800040,$126.50,1.01
220100800071,$33.70,1.02
220100800096,$74.10,1.01
220100900006,$88.40,1.01
220101200006,$55.20,1.01
220101200025,$26.90,1.01
220101200029,$54.80,1.01
220101300001,$33.60,1.01
220101300012,$19.40,1.01
220101300017,$16.60,1.01
220101400004,$105.70,1.01
220101400017,$11.10,1.01
220101400047,$24.20,1.01
220101400060,$32.40,1.01
220101400061,$51.00,1.01
220101400088,$38.40,1.01
220101400091,$34.00,1.01
220101400098,$32.70,1.01
220101400117,$46.40,1.01
220101400130,$16.90,1.01
220101400145,$16.70,1.01
